gene	individual	TPM	tissue	sex	path
_scaffold_12_000076.1	indv_1	10.1570578964188	flowers	male	rddm
_scaffold_12_000077.1	indv_1	67.9215132446312	flowers	male	rddm
_scaffold_12_000458.1	indv_1	126.735957349549	flowers	male	rddm
_scaffold_12_000455.1	indv_1	20.0674764178694	flowers	male	rddm
_scaffold_12_000454.1	indv_1	9.3396234424262	flowers	male	rddm
_scaffold_12_000088.1	indv_1	19.579682375712	flowers	male	rddm
_scaffold_12_000105.1	indv_1	201.656939961118	flowers	male	rddm
_scaffold_12_000442.1	indv_1	100.790932729069	flowers	male	rddm
_scaffold_12_000441.1	indv_1	153.126985534504	flowers	male	rddm
_scaffold_12_000439.1	indv_1	61.5922971309813	flowers	male	rddm
_scaffold_12_000438.1	indv_1	4.90057510366298	flowers	male	rddm
_scaffold_12_000124.1	indv_1	19.3587935772028	flowers	male	rddm
_scaffold_12_000437.1	indv_1	54.1294696651531	flowers	male	rddm
_scaffold_12_000126.1	indv_1	11.8658595149606	flowers	male	rddm
_scaffold_12_000436.1	indv_1	14.0394854321156	flowers	male	rddm
_scaffold_12_000127.1	indv_1	70.5462639327169	flowers	male	rddm
_scaffold_12_000424.1	indv_1	9.67081576307961	flowers	male	rddm
_scaffold_12_000134.1	indv_1	0	flowers	male	rddm
_scaffold_12_000137.1	indv_1	5.25466290017042	flowers	male	rddm
_scaffold_12_000138.1	indv_1	63.0648459406241	flowers	male	rddm
_scaffold_12_000416.1	indv_1	88.1080117183852	flowers	male	rddm
_scaffold_12_000147.1	indv_1	59.722625294021	flowers	male	rddm
_scaffold_12_000148.1	indv_1	7.39404440629494	flowers	male	rddm
_scaffold_12_000405.1	indv_1	101.976040092949	flowers	male	rddm
_scaffold_12_000162.1	indv_1	56.8357772529722	flowers	male	rddm
_scaffold_12_000400.1	indv_1	24.0809717014433	flowers	male	rddm
_scaffold_12_000398.1	indv_1	53.5282107008224	flowers	male	rddm
_scaffold_12_000163.1	indv_1	5.6639045590622	flowers	male	rddm
_scaffold_12_000396.1	indv_1	75.7547234774569	flowers	male	rddm
_scaffold_12_000393.1	indv_1	11.8830938788168	flowers	male	rddm
_scaffold_12_000392.1	indv_1	11.1769264147068	flowers	male	rddm
_scaffold_12_000165.1	indv_1	113.238455241696	flowers	male	rddm
_scaffold_12_000169.1	indv_1	12.6257872462428	flowers	male	rddm
_scaffold_12_000172.1	indv_1	11.6545728426857	flowers	male	rddm
_scaffold_12_000381.1	indv_1	117.610894134734	flowers	male	rddm
_scaffold_12_000378.1	indv_1	25.788842034879	flowers	male	rddm
_scaffold_12_000174.1	indv_1	95.5664930383429	flowers	male	rddm
_scaffold_12_000179.1	indv_1	30.8657835128522	flowers	male	rddm
_scaffold_12_000375.1	indv_1	0	flowers	male	rddm
_scaffold_12_000181.1	indv_1	4.53394853730416	flowers	male	rddm
_scaffold_12_000365.1	indv_1	24.4128296153501	flowers	male	rddm
_scaffold_12_000185.1	indv_1	73.1993410750618	flowers	male	rddm
_scaffold_12_000360.1	indv_1	228.753450710434	flowers	male	rddm
_scaffold_12_000359.1	indv_1	91.0854420717742	flowers	male	rddm
_scaffold_12_000358.1	indv_1	94.7831611281926	flowers	male	rddm
_scaffold_12_000357.1	indv_1	32.2265293375297	flowers	male	rddm
_scaffold_12_000354.1	indv_1	24.6802719021579	flowers	male	rddm
_scaffold_12_000191.1	indv_1	44.0324330212718	flowers	male	rddm
_scaffold_12_000192.1	indv_1	33.8587703127234	flowers	male	rddm
_scaffold_12_000193.1	indv_1	36.9456191505031	flowers	male	rddm
_scaffold_12_000195.1	indv_1	43.542304403465	flowers	male	rddm
_scaffold_12_000344.1	indv_1	74.5368018781409	flowers	male	rddm
_scaffold_12_000335.1	indv_1	74.8334780095365	flowers	male	rddm
_scaffold_12_000330.1	indv_1	36.3622672691793	flowers	male	rddm
_scaffold_12_000207.1	indv_1	65.7031258639432	flowers	male	rddm
_scaffold_12_000321.1	indv_1	70.5388244839271	flowers	male	rddm
_scaffold_12_000316.1	indv_1	43.4001254503108	flowers	male	rddm
_scaffold_12_000314.1	indv_1	13.7216102902564	flowers	male	rddm
_scaffold_12_000309.1	indv_1	136.605650640516	flowers	male	rddm
_scaffold_12_000308.1	indv_1	82.6415165208621	flowers	male	rddm
_scaffold_12_000222.1	indv_1	37.3678008184765	flowers	male	rddm
_scaffold_12_000225.1	indv_1	5.59419496448913	flowers	male	rddm
_scaffold_12_000238.1	indv_1	49.8333459480353	flowers	male	rddm
_scaffold_12_000239.1	indv_1	121.452916992198	flowers	male	rddm
_scaffold_12_000243.1	indv_1	14.172375884424	flowers	male	rddm
_scaffold_12_000245.1	indv_1	32.7784861200535	flowers	male	rddm
_scaffold_12_000253.1	indv_1	22.7264170432371	flowers	male	rddm
_scaffold_12_000283.1	indv_1	19.3553587309329	flowers	male	rddm
_scaffold_12_000282.1	indv_1	94.1250165656278	flowers	male	rddm
_scaffold_12_000255.1	indv_1	80.1372281414421	flowers	male	rddm
_scaffold_12_000279.1	indv_1	30.0368582884377	flowers	male	rddm
_scaffold_12_000276.1	indv_1	61.5643574081927	flowers	male	rddm
_scaffold_1_004171.1	indv_1	8.18969983540075	flowers	male	rddm
_scaffold_1_004169.1	indv_1	0	flowers	male	rddm
_scaffold_1_000006.1	indv_1	109.019712753536	flowers	male	rddm
_scaffold_1_004167.1	indv_1	31.9802874560522	flowers	male	rddm
_scaffold_1_000011.1	indv_1	80.7498248205212	flowers	male	rddm
_scaffold_1_000022.1	indv_1	31.3467821286029	flowers	male	rddm
_scaffold_1_000023.1	indv_1	56.0168886263312	flowers	male	rddm
_scaffold_1_000024.1	indv_1	93.5202117265951	flowers	male	rddm
_scaffold_1_004162.1	indv_1	106.331176940351	flowers	male	rddm
_scaffold_1_000026.1	indv_1	106.278025421401	flowers	male	rddm
_scaffold_1_004158.1	indv_1	15.4264164172276	flowers	male	rddm
_scaffold_1_004153.1	indv_1	162.010101694363	flowers	male	rddm
_scaffold_1_000027.1	indv_1	91.370983366016	flowers	male	rddm
_scaffold_1_004141.1	indv_1	72.8901940703367	flowers	male	rddm
_scaffold_1_004140.1	indv_1	13.343951291442	flowers	male	rddm
_scaffold_1_000034.1	indv_1	34.879872680268	flowers	male	rddm
_scaffold_1_000043.1	indv_1	44.9138676743816	flowers	male	rddm
_scaffold_1_000050.1	indv_1	95.430384688344	flowers	male	rddm
_scaffold_1_000054.1	indv_1	76.5799383301526	flowers	male	rddm
_scaffold_1_000056.1	indv_1	42.4049764072062	flowers	male	rddm
_scaffold_1_000060.1	indv_1	4.30832550582693	flowers	male	rddm
_scaffold_1_004108.1	indv_1	42.8511567145211	flowers	male	rddm
_scaffold_1_004105.1	indv_1	0	flowers	male	rddm
_scaffold_1_000065.1	indv_1	100.900532212906	flowers	male	rddm
_scaffold_1_000066.1	indv_1	23.3248844738152	flowers	male	rddm
_scaffold_1_004102.1	indv_1	26.4301101038411	flowers	male	rddm
_scaffold_1_000071.1	indv_1	13.7112621678655	flowers	male	rddm
_scaffold_1_000078.1	indv_1	0	flowers	male	rddm
_scaffold_1_004095.1	indv_1	18.6431597679698	flowers	male	rddm
_scaffold_1_000079.1	indv_1	13.1986451067802	flowers	male	rddm
_scaffold_1_000087.1	indv_1	132.57076608555	flowers	male	rddm
_scaffold_1_000089.1	indv_1	111.225758705725	flowers	male	rddm
_scaffold_1_000091.1	indv_1	157.56982483311	flowers	male	rddm
_scaffold_1_004089.1	indv_1	67.7294850182619	flowers	male	rddm
_scaffold_1_004088.1	indv_1	21.1408530634764	flowers	male	rddm
_scaffold_1_000092.1	indv_1	184.023153089764	flowers	male	rddm
_scaffold_1_000094.1	indv_1	31.2390612278173	flowers	male	rddm
_scaffold_1_000095.1	indv_1	35.4386822843172	flowers	male	rddm
_scaffold_1_004087.1	indv_1	67.3375319799617	flowers	male	rddm
_scaffold_1_002220.1_1	indv_1	12.4528312565683	flowers	male	rddm
_scaffold_1_000096.1	indv_1	57.666073167759	flowers	male	rddm
_scaffold_1_004084.1	indv_1	84.8516462233078	flowers	male	rddm
_scaffold_1_004082.1	indv_1	174.818592640285	flowers	male	rddm
_scaffold_1_004079.1	indv_1	78.4797135306029	flowers	male	rddm
_scaffold_1_004078.1	indv_1	67.6347342018153	flowers	male	rddm
_scaffold_1_004076.1	indv_1	38.3397934580692	flowers	male	rddm
_scaffold_1_004075.1	indv_1	33.9342925356432	flowers	male	rddm
_scaffold_1_000100.1	indv_1	28.3237245049246	flowers	male	rddm
_scaffold_1_004073.1	indv_1	18.0536957820108	flowers	male	rddm
_scaffold_1_000103.1	indv_1	74.1973576497266	flowers	male	rddm
_scaffold_1_000104.1	indv_1	60.1029211060815	flowers	male	rddm
_scaffold_1_000106.1	indv_1	53.1266891919828	flowers	male	rddm
_scaffold_1_000111.1	indv_1	11.6545728426857	flowers	male	rddm
_scaffold_1_000112.1	indv_1	16.2108873285093	flowers	male	rddm
_scaffold_1_004062.1	indv_1	0	flowers	male	rddm
_scaffold_1_004060.1	indv_1	4.24792841929665	flowers	male	rddm
_scaffold_1_004059.1	indv_1	4.78450885120781	flowers	male	rddm
_scaffold_1_004058.1	indv_1	14.3440896525362	flowers	male	rddm
_scaffold_1_004057.1	indv_1	0	flowers	male	rddm
_scaffold_1_004053.1	indv_1	30.3651501204003	flowers	male	rddm
_scaffold_1_000126.1	indv_1	36.9160073798775	flowers	male	rddm
_scaffold_1_004051.1	indv_1	28.0669301391607	flowers	male	rddm
_scaffold_1_004050.1	indv_1	39.1374696635003	flowers	male	rddm
_scaffold_1_004049.1	indv_1	94.4474474524139	flowers	male	rddm
_scaffold_1_000128.1	indv_1	28.9844159392009	flowers	male	rddm
_scaffold_1_004045.1	indv_1	52.8395935999344	flowers	male	rddm
_scaffold_1_000130.1	indv_1	113.071216088761	flowers	male	rddm
_scaffold_1_004037.1	indv_1	55.0149576839169	flowers	male	rddm
_scaffold_1_000135.1	indv_1	38.9449311225709	flowers	male	rddm
_scaffold_1_000137.1	indv_1	37.2818871522686	flowers	male	rddm
_scaffold_1_004027.1	indv_1	11.2751216338541	flowers	male	rddm
_scaffold_1_000140.1	indv_1	17.5380710301508	flowers	male	rddm
_scaffold_1_004018.1	indv_1	161.563704912273	flowers	male	rddm
_scaffold_1_000148.1	indv_1	160.078104623315	flowers	male	rddm
_scaffold_1_000149.1	indv_1	90.3524896647965	flowers	male	rddm
_scaffold_1_004017.1	indv_1	20.5901853166361	flowers	male	rddm
_scaffold_1_000151.1	indv_1	30.1582785407885	flowers	male	rddm
_scaffold_1_004016.1	indv_1	14.561548677589	flowers	male	rddm
_scaffold_1_004014.1	indv_1	53.5724011332292	flowers	male	rddm
_scaffold_1_000153.1	indv_1	123.053357932925	flowers	male	rddm
_scaffold_1_000160.1	indv_1	63.0279299332442	flowers	male	rddm
_scaffold_1_000161.1	indv_1	33.723070451255	flowers	male	rddm
_scaffold_1_004007.1	indv_1	12.4528312565683	flowers	male	rddm
_scaffold_1_004000.1	indv_1	70.8926190720715	flowers	male	rddm
_scaffold_1_003996.1	indv_1	103.318202185514	flowers	male	rddm
_scaffold_1_003994.1	indv_1	16.5987221253101	flowers	male	rddm
_scaffold_1_000164.1	indv_1	18.3277556800299	flowers	male	rddm
_scaffold_1_000169.1	indv_1	49.5476840041745	flowers	male	rddm
_scaffold_1_000170.1	indv_1	43.3457490625979	flowers	male	rddm
_scaffold_1_000173.1	indv_1	44.2341384356948	flowers	male	rddm
_scaffold_1_000174.1	indv_1	36.0165087848448	flowers	male	rddm
_scaffold_1_003985.1	indv_1	0	flowers	male	rddm
_scaffold_1_000179.1	indv_1	10.4189877562118	flowers	male	rddm
_scaffold_1_003981.1	indv_1	18.9386808693642	flowers	male	rddm
_scaffold_1_000180.1	indv_1	25.5008108121517	flowers	male	rddm
_scaffold_1_003980.1	indv_1	8.83191779612267	flowers	male	rddm
_scaffold_1_003978.1	indv_1	28.667347639602	flowers	male	rddm
_scaffold_1_000182.1	indv_1	15.219236139708	flowers	male	rddm
_scaffold_1_000186.1	indv_1	29.7008017367859	flowers	male	rddm
_scaffold_1_003968.1	indv_1	125.387128514412	flowers	male	rddm
_scaffold_1_003967.1	indv_1	83.55830038084	flowers	male	rddm
_scaffold_1_003961.1	indv_1	32.2055980773317	flowers	male	rddm
_scaffold_1_003946.1	indv_1	62.3029501496842	flowers	male	rddm
_scaffold_1_000193.1	indv_1	26.88509952704	flowers	male	rddm
_scaffold_1_000199.1	indv_1	21.1135745433944	flowers	male	rddm
_scaffold_1_003945.1	indv_1	41.9679919017733	flowers	male	rddm
_scaffold_1_000206.1	indv_1	194.401123384105	flowers	male	rddm
_scaffold_1_000209.1	indv_1	13.4178108004352	flowers	male	rddm
_scaffold_1_003935.1	indv_1	85.4708377303142	flowers	male	rddm
_scaffold_1_003929.1	indv_1	56.4798530068614	flowers	male	rddm
_scaffold_1_000219.1	indv_1	14.4086793934068	flowers	male	rddm
_scaffold_1_000221.1	indv_1	93.8784869255921	flowers	male	rddm
_scaffold_1_000222.1	indv_1	3.09202952969212	flowers	male	rddm
_scaffold_1_000224.1	indv_1	72.7938620260025	flowers	male	rddm
_scaffold_1_003928.1	indv_1	9.04534011671128	flowers	male	rddm
_scaffold_1_003926.1	indv_1	16.3793996708015	flowers	male	rddm
_scaffold_1_000233.1	indv_1	9.77480302934928	flowers	male	rddm
_scaffold_1_000234.1	indv_1	114.107533271483	flowers	male	rddm
_scaffold_1_003921.1	indv_1	93.0007397834547	flowers	male	rddm
_scaffold_1_003916.1	indv_1	16.0421767364026	flowers	male	rddm
_scaffold_1_000239.1	indv_1	40.2906008522763	flowers	male	rddm
_scaffold_1_000240.1	indv_1	36.48388020319	flowers	male	rddm
_scaffold_1_000241.1	indv_1	34.8605807152899	flowers	male	rddm
_scaffold_1_003906.1	indv_1	73.6078284801201	flowers	male	rddm
_scaffold_1_003905.1	indv_1	122.547508800928	flowers	male	rddm
_scaffold_1_003904.1	indv_1	53.5526763905439	flowers	male	rddm
_scaffold_1_000249.1	indv_1	17.4445845108003	flowers	male	rddm
_scaffold_1_000250.1	indv_1	9.98963386515916	flowers	male	rddm
_scaffold_1_000251.1	indv_1	77.1019347020902	flowers	male	rddm
_scaffold_1_003902.1	indv_1	9.1270751177659	flowers	male	rddm
_scaffold_1_003901.1	indv_1	53.1185732907925	flowers	male	rddm
_scaffold_1_000255.1	indv_1	6.18405905938424	flowers	male	rddm
_scaffold_1_000258.1	indv_1	21.223113192128	flowers	male	rddm
_scaffold_1_000261.1	indv_1	157.819572978902	flowers	male	rddm
_scaffold_1_003899.1	indv_1	26.6465318207064	flowers	male	rddm
_scaffold_1_003898.1	indv_1	139.006240167372	flowers	male	rddm
_scaffold_1_003897.1	indv_1	35.0674684346685	flowers	male	rddm
_scaffold_1_000263.1	indv_1	0	flowers	male	rddm
_scaffold_1_000264.1	indv_1	3.8115584139601	flowers	male	rddm
_scaffold_1_003894.1	indv_1	103.004624008916	flowers	male	rddm
_scaffold_1_003893.1	indv_1	92.7761551723917	flowers	male	rddm
_scaffold_1_003892.1	indv_1	38.9317636714982	flowers	male	rddm
_scaffold_1_000273.1	indv_1	57.397776832749	flowers	male	rddm
_scaffold_1_003883.1	indv_1	44.9490942372635	flowers	male	rddm
_scaffold_1_003881.1	indv_1	25.2515744924856	flowers	male	rddm
_scaffold_1_000279.1	indv_1	230.616149347303	flowers	male	rddm
_scaffold_1_000282.1	indv_1	167.932608380561	flowers	male	rddm
_scaffold_1_003879.1	indv_1	98.3412241448782	flowers	male	rddm
_scaffold_1_003878.1	indv_1	97.5508193551814	flowers	male	rddm
_scaffold_1_000289.1	indv_1	13.7735860868104	flowers	male	rddm
_scaffold_1_003873.1	indv_1	85.175668645863	flowers	male	rddm
_scaffold_1_003872.1	indv_1	36.544992230331	flowers	male	rddm
_scaffold_1_000305.1	indv_1	42.4335255385396	flowers	male	rddm
_scaffold_1_000306.1	indv_1	32.6971453905209	flowers	male	rddm
_scaffold_1_000307.1	indv_1	80.8050383759541	flowers	male	rddm
_scaffold_1_000308.1	indv_1	166.432161892536	flowers	male	rddm
_scaffold_1_000309.1	indv_1	178.792757326105	flowers	male	rddm
_scaffold_1_003862.1	indv_1	19.9245300105092	flowers	male	rddm
_scaffold_1_000312.1	indv_1	43.8099605652763	flowers	male	rddm
_scaffold_1_000314.1	indv_1	45.1705183468066	flowers	male	rddm
_scaffold_1_003861.1	indv_1	27.6069274277934	flowers	male	rddm
_scaffold_1_000316.1	indv_1	37.9960995498217	flowers	male	rddm
_scaffold_1_000319.1	indv_1	135.288617782064	flowers	male	rddm
_scaffold_1_003860.1	indv_1	94.5418948998663	flowers	male	rddm
_scaffold_1_003859.1	indv_1	77.3749685452856	flowers	male	rddm
_scaffold_1_003858.1	indv_1	122.012032503515	flowers	male	rddm
_scaffold_1_003857.1	indv_1	128.725404902595	flowers	male	rddm
_scaffold_1_003855.1	indv_1	3.41750632229129	flowers	male	rddm
_scaffold_1_000320.1	indv_1	19.4267298421134	flowers	male	rddm
_scaffold_1_000321.1	indv_1	109.370882020578	flowers	male	rddm
_scaffold_1_003847.1	indv_1	44.6032484026148	flowers	male	rddm
_scaffold_1_003846.1	indv_1	29.9524442085497	flowers	male	rddm
_scaffold_1_000323.1	indv_1	126.063330286061	flowers	male	rddm
_scaffold_1_000326.1	indv_1	15.1931478840582	flowers	male	rddm
_scaffold_1_000329.1	indv_1	63.7498765875867	flowers	male	rddm
_scaffold_1_003845.1	indv_1	23.0871538217012	flowers	male	rddm
_scaffold_1_003844.1	indv_1	35.0600373118809	flowers	male	rddm
_scaffold_1_000330.1	indv_1	34.7410196839293	flowers	male	rddm
_scaffold_1_003843.1	indv_1	18.8297126250066	flowers	male	rddm
_scaffold_1_000331.1	indv_1	7.30166009421272	flowers	male	rddm
_scaffold_1_000332.1	indv_1	35.2055146451252	flowers	male	rddm
_scaffold_1_000333.1	indv_1	40.2322240596821	flowers	male	rddm
_scaffold_1_003836.1	indv_1	22.9898423198183	flowers	male	rddm
_scaffold_1_000339.1	indv_1	0	flowers	male	rddm
_scaffold_1_000341.1	indv_1	39.3872045810001	flowers	male	rddm
_scaffold_1_003834.1	indv_1	131.4261205385	flowers	male	rddm
_scaffold_1_000343.1	indv_1	96.6961962012809	flowers	male	rddm
_scaffold_1_000347.1	indv_1	21.74776750549	flowers	male	rddm
_scaffold_1_000348.1	indv_1	13.3357948419973	flowers	male	rddm
_scaffold_1_003831.1	indv_1	0	flowers	male	rddm
_scaffold_1_003818.1	indv_1	13.0799522551005	flowers	male	rddm
_scaffold_1_000361.1	indv_1	5.23449144949798	flowers	male	rddm
_scaffold_1_003816.1	indv_1	58.1635825044788	flowers	male	rddm
_scaffold_1_003815.1	indv_1	52.1136041120449	flowers	male	rddm
_scaffold_1_000362.1	indv_1	2.04973321697741	flowers	male	rddm
_scaffold_1_000369.1	indv_1	61.1784857694972	flowers	male	rddm
_scaffold_1_003810.1	indv_1	26.5947433484689	flowers	male	rddm
_scaffold_1_003809.1	indv_1	14.7934366432788	flowers	male	rddm
_scaffold_1_003808.1	indv_1	13.3249350742107	flowers	male	rddm
_scaffold_1_003806.1	indv_1	28.7070531072468	flowers	male	rddm
_scaffold_1_000372.1	indv_1	45.4254693459043	flowers	male	rddm
_scaffold_1_000373.1	indv_1	10.3009255720055	flowers	male	rddm
_scaffold_1_000374.1	indv_1	25.2749772491979	flowers	male	rddm
_scaffold_1_000375.1	indv_1	52.3896059908134	flowers	male	rddm
_scaffold_1_000376.1	indv_1	37.6643786451991	flowers	male	rddm
_scaffold_1_000377.1	indv_1	21.0518389453144	flowers	male	rddm
_scaffold_1_003804.1	indv_1	23.3519147600234	flowers	male	rddm
_scaffold_1_000385.1	indv_1	41.2655903588818	flowers	male	rddm
_scaffold_1_003800.1	indv_1	67.2273593163819	flowers	male	rddm
_scaffold_1_000386.1	indv_1	42.3605163900039	flowers	male	rddm
_scaffold_1_003795.1	indv_1	41.6930173438584	flowers	male	rddm
_scaffold_1_000394.1	indv_1	10.8221033539224	flowers	male	rddm
_scaffold_1_000395.1	indv_1	51.6010435281229	flowers	male	rddm
_scaffold_1_000396.1	indv_1	37.1043543563054	flowers	male	rddm
_scaffold_1_003793.1	indv_1	73.3110227201196	flowers	male	rddm
_scaffold_1_000398.1	indv_1	65.9275019436091	flowers	male	rddm
_scaffold_1_000399.1	indv_1	51.2350786804057	flowers	male	rddm
_scaffold_1_003792.1	indv_1	43.5925849596609	flowers	male	rddm
_scaffold_1_003790.1	indv_1	69.9872552229713	flowers	male	rddm
_scaffold_1_003787.1	indv_1	19.4897297767424	flowers	male	rddm
_scaffold_1_003782.1	indv_1	49.1563983453721	flowers	male	rddm
_scaffold_1_003775.1	indv_1	21.1073846945104	flowers	male	rddm
_scaffold_1_000402.1	indv_1	12.1951669445292	flowers	male	rddm
_scaffold_1_000403.1	indv_1	7.72843087548976	flowers	male	rddm
_scaffold_1_000407.1	indv_1	142.700758178465	flowers	male	rddm
_scaffold_1_000411.1	indv_1	184.854675515977	flowers	male	rddm
_scaffold_1_003770.1	indv_1	11.052360872091	flowers	male	rddm
_scaffold_1_003769.1	indv_1	12.5820994011001	flowers	male	rddm
_scaffold_1_003766.1	indv_1	23.6630806523944	flowers	male	rddm
_scaffold_1_003764.1	indv_1	456.948619570092	flowers	male	rddm
_scaffold_1_003763.1	indv_1	674.607787107071	flowers	male	rddm
_scaffold_1_003760.1	indv_1	12.2244786051642	flowers	male	rddm
_scaffold_1_003752.1	indv_1	38.2185992318702	flowers	male	rddm
_scaffold_1_000414.1	indv_1	137.536837524733	flowers	male	rddm
_scaffold_1_003749.1	indv_1	160.833105229062	flowers	male	rddm
_scaffold_1_003748.1	indv_1	130.838742797647	flowers	male	rddm
_scaffold_1_003741.1	indv_1	18.5102039266184	flowers	male	rddm
_scaffold_1_003735.1	indv_1	12.7872423261181	flowers	male	rddm
_scaffold_1_003734.1	indv_1	32.2873775507104	flowers	male	rddm
_scaffold_1_003733.1	indv_1	18.8080692771617	flowers	male	rddm
_scaffold_1_003732.1	indv_1	15.5927389662004	flowers	male	rddm
_scaffold_1_000446.1	indv_1	83.8906722996182	flowers	male	rddm
_scaffold_1_003721.1	indv_1	5.57703485723609	flowers	male	rddm
_scaffold_1_003717.1	indv_1	140.839767591892	flowers	male	rddm
_scaffold_1_003706.1	indv_1	41.9299522533186	flowers	male	rddm
_scaffold_1_003705.1	indv_1	16.0186199423698	flowers	male	rddm
_scaffold_1_003704.1	indv_1	0	flowers	male	rddm
_scaffold_1_003700.1	indv_1	17.7376913508192	flowers	male	rddm
_scaffold_1_000467.1	indv_1	126.384764796561	flowers	male	rddm
_scaffold_1_000468.1	indv_1	22.1412552961252	flowers	male	rddm
_scaffold_1_000469.1	indv_1	42.2817061269527	flowers	male	rddm
_scaffold_1_003698.1	indv_1	53.6776326354552	flowers	male	rddm
_scaffold_1_000472.1	indv_1	77.9456562762265	flowers	male	rddm
_scaffold_1_003688.1	indv_1	136.162584871119	flowers	male	rddm
_scaffold_1_000497.1	indv_1	57.4216616962958	flowers	male	rddm
_scaffold_1_000511.1	indv_1	35.9201728342957	flowers	male	rddm
_scaffold_1_000512.1	indv_1	42.2062030802974	flowers	male	rddm
_scaffold_1_003681.1	indv_1	115.410674376091	flowers	male	rddm
_scaffold_1_000522.1	indv_1	0	flowers	male	rddm
_scaffold_1_000523.1	indv_1	7.12492558294201	flowers	male	rddm
_scaffold_1_000528.1	indv_1	199.961706641003	flowers	male	rddm
_scaffold_1_003666.1	indv_1	104.048656342531	flowers	male	rddm
_scaffold_1_003662.1	indv_1	263.086171456595	flowers	male	rddm
_scaffold_1_003658.1	indv_1	13.2226426433379	flowers	male	rddm
_scaffold_1_003653.1	indv_1	29.0984355740321	flowers	male	rddm
_scaffold_1_003646.1	indv_1	64.3062604438863	flowers	male	rddm
_scaffold_1_000535.1	indv_1	248.519092846909	flowers	male	rddm
_scaffold_1_003645.1	indv_1	165.55835180859	flowers	male	rddm
_scaffold_1_000537.1	indv_1	61.1538397746476	flowers	male	rddm
_scaffold_1_000541.1	indv_1	153.770781984092	flowers	male	rddm
_scaffold_1_003637.1	indv_1	131.37882113573	flowers	male	rddm
_scaffold_1_003630.1	indv_1	42.337969208958	flowers	male	rddm
_scaffold_1_000556.1	indv_1	15.7004608243434	flowers	male	rddm
_scaffold_1_000558.1	indv_1	70.6203367494961	flowers	male	rddm
_scaffold_1_000560.1	indv_1	168.466516759863	flowers	male	rddm
_scaffold_1_003616.1	indv_1	20.6939732426224	flowers	male	rddm
_scaffold_1_000561.1	indv_1	30.8902755927494	flowers	male	rddm
_scaffold_1_003615.1	indv_1	69.4886453803484	flowers	male	rddm
_scaffold_1_000562.1	indv_1	6.37934513494374	flowers	male	rddm
_scaffold_1_003612.1	indv_1	14.8781780970456	flowers	male	rddm
_scaffold_1_000568.1	indv_1	19.0267677571287	flowers	male	rddm
_scaffold_1_000569.1	indv_1	102.89206315958	flowers	male	rddm
_scaffold_1_000570.1	indv_1	45.4212915229166	flowers	male	rddm
_scaffold_1_000571.1	indv_1	51.0945207529452	flowers	male	rddm
_scaffold_1_003606.1	indv_1	72.8200362252114	flowers	male	rddm
_scaffold_1_000574.1	indv_1	177.473104892958	flowers	male	rddm
_scaffold_1_003605.1	indv_1	300.99607085302	flowers	male	rddm
