geneX	chr	start	end	geneY	strata
_chr12_000132.1	X	3932654	3936927	_scaffold_1_002029.1	s1a
_chr12_000136.1	X	4002446	4005074	_scaffold_41_000096.1	s1a
_chr12_000137.1	X	4015857	4019673	_scaffold_41_000045.1	s1a
_chr12_000143.1	X	4393178	4397042	_scaffold_12_000077.1	s1a
_chr12_000144.1	X	4404771	4405971	_scaffold_1_003312.1	s1a
_chr12_000144.1	X	4404771	4405971	_scaffold_1_003312.1	s1a
_chr12_000145.1	X	4419461	4426502	_scaffold_1_000820.1	s1a
_chr12_000150.1	X	4613769	4615968	_scaffold_13_000070.1	s1a
_chr12_000150.1	X	4613769	4615968	_scaffold_13_000070.1	s1a
_chr12_000156.1	X	4762101	4766627	_scaffold_1_000054.1	s1a
_chr12_000158.1	X	4768174	4771959	_scaffold_1_000056.1	s1a
_chr12_000160.1	X	4804797	4812383	_scaffold_1_002243.1	s1a
_chr12_000167.1	X	4876779	4884176	_scaffold_1_002810.1	s1a
_chr12_000168.1	X	4893718	4905707	_scaffold_1_002767.1	s1a
_chr12_000169.1	X	4906633	4918775	_scaffold_41_000029.1	s1a
_chr12_000170.1	X	4919691	4929725	_scaffold_12_000360.1	s1a
_chr12_000171.1	X	5023748	5026506	_scaffold_12_000138.1	s1a
_chr12_000172.1	X	5027047	5031173	_scaffold_12_000140.1	s1a
_chr12_000173.1	X	5102754	5111672	_scaffold_12_000405.1	s1a
_chr12_000175.1	X	5179161	5184569	_scaffold_12_000392.1	S2
_chr12_000176.1	X	5184833	5188211	_scaffold_12_000396.1	S2
_chr12_000177.1	X	5205752	5212848	_scaffold_1_001881.1	S2
_chr12_000179.1	X	5218571	5221845	_scaffold_1_001346.1	S2
_chr12_000183.1	X	5342000	5347124	_scaffold_1_002318.1	S2
_chr12_000184.1	X	5359298	5363475	_scaffold_1_002319.1	S2
_chr12_000185.1	X	5374235	5380185	_scaffold_1_002320.1	S2
_chr12_000188.1	X	5397068	5401119	_scaffold_1_002553.1	S2
_chr12_000191.1	X	5649095	5654389	_scaffold_1_002988.1	S2
_chr12_000192.1	X	5655529	5660058	_scaffold_1_000241.1	S2
_chr12_000194.1	X	5703321	5705951	_scaffold_1_004087.1	S2
_chr12_000199.1	X	5769054	5774916	_scaffold_1_000729.1	S2
_chr12_000200.1	X	5776789	5790749	_scaffold_1_000730.1	S2
_chr12_000205.1	X	5826458	5828820	_scaffold_41_000111.1	S2
_chr12_000206.1	X	5831462	5832909	_scaffold_41_000113.1	S2
_chr12_000210.1	X	5887992	5894645	_scaffold_1_004078.1	S2
_chr12_000215.1	X	5915064	5916744	_scaffold_1_004037.1	S2
_chr12_000216.1	X	5924774	5930685	_scaffold_1_001878.1	S2
_chr12_000228.1	X	6044493	6048446	_scaffold_1_002849.1	S2
_chr12_000229.1	X	6053000	6060650	_scaffold_1_001519.1	S2
_chr12_000236.1	X	6350185	6356116	_scaffold_1_001385.1	S2
_chr12_000239.1	X	6379050	6388896	_scaffold_41_000046.1	S2
_chr12_000241.1	X	6396493	6399658	_scaffold_41_000103.1	S2
_chr12_000242.1	X	6464038	6469058	_scaffold_1_000329.1	S2
_chr12_000244.1	X	6487462	6490605	_scaffold_1_002878.1	S2
_chr12_000244.1	X	6487462	6490605	_scaffold_1_002878.1	S2
_chr12_000247.1	X	6594800	6609452	_scaffold_1_002652.1	S2
_chr12_000248.1	X	6617692	6624371	_scaffold_1_002654.1	S2
_chr12_000249.1	X	6631743	6635958	_scaffold_1_002655.1	S2
_chr12_000250.1	X	6640600	6649763	_scaffold_1_002656.1	S2
_chr12_000253.1	X	6783748	6794328	_scaffold_1_001527.1	S2
_chr12_000255.1	X	6797838	6804645	_scaffold_1_001532.1	S2
_chr12_000259.1	X	6891088	6900167	_scaffold_1_001545.1	S2
_chr12_000261.1	X	6938862	6940538	_scaffold_1_001546.1	S2
_chr12_000269.1	X	7359852	7363272	_scaffold_1_001158.1	S2
_chr12_000271.1	X	7369491	7376115	_scaffold_1_001159.1	S2
_chr12_000272.1	X	7459148	7460115	_scaffold_1_003537.1	S2
_chr12_000275.1	X	7497140	7505789	_scaffold_1_003538.1	S2
_chr12_000276.1	X	7555145	7561472	_scaffold_1_003542.1	S2
_chr12_000277.1	X	7564041	7564969	_scaffold_1_003544.1	S2
_chr12_000279.1	X	7653314	7654668	_scaffold_1_003553.1	S2
_chr12_000280.1	X	7657981	7663862	_scaffold_1_003555.1	S2
_chr12_000281.1	X	7666923	7670021	_scaffold_1_003557.1	S2
_chr12_000282.1	X	7717656	7720992	_scaffold_1_003562.1	S2
_chr12_000283.1	X	7726523	7729472	_scaffold_1_003563.1	S2
_chr12_000284.1	X	7730932	7736103	_scaffold_1_003564.1	S2
_chr12_000285.1	X	7740720	7748284	_scaffold_1_003565.1	S2
_chr12_000286.1	X	7756150	7757144	_scaffold_1_003566.1	S2
_chr12_000288.1	X	7775147	7776192	_scaffold_1_003568.1	S2
_chr12_000289.1	X	7783644	7791929	_scaffold_1_003569.1	S2
_chr12_000290.1	X	7803355	7805064	_scaffold_1_003570.1	S2
_chr12_000297.1	X	8042067	8045870	_scaffold_12_000384.1	S2
_chr12_000298.1	X	8091344	8101373	_scaffold_1_003572.1	S2
_chr12_000299.1	X	8173130	8177537	_scaffold_1_003573.1	S2
_chr12_000300.1	X	8182292	8190599	_scaffold_1_003574.1	S2
_chr12_000301.1	X	8197574	8207945	_scaffold_1_003575.1	S2
_chr12_000303.1	X	8381034	8385213	_scaffold_1_003588.1	S2
_chr12_000304.1	X	8432276	8437486	_scaffold_1_003589.1	S2
_chr12_000305.1	X	8460805	8462040	_scaffold_1_003590.1	S2
_chr12_000306.1	X	8467166	8469975	_scaffold_1_003596.1	S2
_chr12_000315.1	X	8880195	8882766	_scaffold_1_003579.1	S2
_chr12_000316.1	X	8887563	8894282	_scaffold_1_003580.1	S2
_chr12_000321.1	X	9027383	9034148	_scaffold_1_003605.1	S2
_chr12_000323.1	X	9243925	9249235	_scaffold_13_000457.1	S1b
_chr12_000323.1	X	9243925	9249235	_scaffold_13_000457.1	S1b
_chr12_000333.1	X	9921487	9929405	_scaffold_1_003606.1	S1b
_chr12_000334.1	X	9932286	9935357	_scaffold_1_003607.1	S1b
_chr12_000339.1	X	10069580	10076129	_scaffold_1_001242.1	S1b
_chr12_000340.1	X	10177697	10184063	_scaffold_1_004090.1	S1b
_chr12_000342.1	X	10266554	10274649	_scaffold_13_000013.1	S1b
_chr12_000343.1	X	10275851	10280354	_scaffold_13_000450.1	S1b
_chr12_000347.1	X	10433369	10435686	_scaffold_1_001013.1	S1b
_chr12_000349.1	X	10439884	10441847	_scaffold_1_001015.1	S1b
_chr12_000352.1	X	10468768	10475807	_scaffold_1_001019.1	S1b
_chr12_000353.1	X	10602363	10610104	_scaffold_1_003844.1	S1b
_chr12_000354.1	X	10621796	10628634	_scaffold_1_003845.1	S1b
_chr12_000361.1	X	10833582	10839855	_scaffold_1_002883.1	S1b
_chr12_000362.1	X	10840132	10841566	_scaffold_1_002884.1	S1b
_chr12_000363.1	X	10848198	10851366	_scaffold_1_002885.1	S1b
_chr12_000365.1	X	10859709	10863626	_scaffold_1_002952.1	S1b
_chr12_000367.1	X	10982736	10987242	_scaffold_13_000044.1	S1b
_chr12_000371.1	X	11080053	11080745	_scaffold_1_001941.1	S1b
_chr12_000379.1	X	11238456	11239887	_scaffold_1_000153.1	S1b
_chr12_000380.1	X	11359036	11363557	_scaffold_1_000414.1	S1b
_chr12_000381.1	X	11479377	11484761	_scaffold_1_003902.1	S1b
_chr12_000385.1	X	11548676	11552054	_scaffold_1_003076.1	S1b
_chr12_000390.1	X	11734229	11736401	_scaffold_1_003771.1	S1b
_chr12_000392.1	X	11809185	11813743	_scaffold_12_000515.1	S1b
_chr12_000398.1	X	11888436	11893100	_scaffold_1_002766.1	S1b
_chr12_000399.1	X	11906302	11914212	_scaffold_12_000016.1	S1b
_chr12_000402.1	X	11985735	11991098	_scaffold_13_000438.1	S1b
_chr12_000403.1	X	12000088	12005942	_scaffold_1_002395.1	S1b
_chr12_000415.1	X	12935830	12944587	_scaffold_1_002163.1	S1b
_chr12_000416.1	X	12946000	12951983	_scaffold_1_002164.1	S1b
_chr12_000417.1	X	12953191	12955784	_scaffold_1_002165.1	S1b
_chr12_000420.1	X	13080226	13084319	_scaffold_1_001726.1	S1b
_chr12_000426.1	X	13336931	13343544	_scaffold_1_003653.1	S1b
_chr12_000434.1	X	13699392	13702237	_scaffold_16_000073.1	S1b
_chr12_000439.1	X	13929819	13935371	_scaffold_1_002439.1	S1b
_chr12_000444.1	X	13988084	13992197	_scaffold_1_001307.1	S1b
_chr12_000451.1	X	14145656	14149037	_scaffold_1_001224.1	S1b
_chr12_000452.1	X	14153371	14159893	_scaffold_1_001225.1	S1b
_chr12_000454.1	X	14175246	14181776	_scaffold_1_000186.1	S1b
_chr12_000455.1	X	14276855	14277964	_scaffold_1_001548.1	S1b
_chr12_000461.1	X	14520087	14520962	_scaffold_1_000547.1	S1b
_chr12_000462.1	X	14520964	14522895	_scaffold_1_000549.1	S1b
_chr12_000463.1	X	14522897	14523128	_scaffold_1_000550.1	S1b
_chr12_000468.1	X	14793673	14798657	_scaffold_13_000422.1	S1b
_chr12_000469.1	X	14830816	14840144	_scaffold_13_000423.1	S1b
_chr12_000471.1	X	14856095	14866248	_scaffold_13_000347.1	S1b
_chr12_000476.1	X	15074962	15080069	_scaffold_1_002260.1	S1b
_chr12_000477.1	X	15085141	15088739	_scaffold_1_002265.1	S1b
_chr12_000478.1	X	15089121	15094581	_scaffold_1_002267.1	S1b
_chr12_000481.1	X	15155572	15159047	_scaffold_1_002271.1	S1b
_chr12_000482.1	X	15189710	15197198	_scaffold_13_000350.1	S1b
_chr12_000483.1	X	15198016	15203891	_scaffold_13_000351.1	S1b
_chr12_000494.1	X	15830480	15837728	_scaffold_1_003062.1	S1c
_chr12_000497.1	X	16294086	16297682	_scaffold_1_001100.1	S1c
_chr12_000504.1	X	16658756	16674908	_scaffold_1_002642.1	S1c
_chr12_000505.1	X	16770903	16774964	_scaffold_1_003489.1	S1c
_chr12_000507.1	X	17111763	17116735	_scaffold_1_000657.1	S1c
_chr12_000514.1	X	17570403	17577248	_scaffold_1_002802.1	S1c
_chr12_000522.1	X	18316812	18320252	_scaffold_1_001444.1	S1c
_chr12_000523.1	X	18321176	18322985	_scaffold_1_001447.1	S1c
_chr12_000524.1	X	18390810	18394635	_scaffold_13_000222.1	S1c
_chr12_000525.1	X	18472323	18477464	_scaffold_1_003382.1	S1c
_chr12_000526.1	X	18529170	18531200	_scaffold_1_001678.1	S1c
_chr12_000533.1	X	18611944	18613356	_scaffold_1_001020.1	S1c
_chr12_000538.1	X	19041887	19044001	_scaffold_12_000398.1	S1c
_chr12_000541.1	X	19119389	19121255	_scaffold_41_000017.1	S1c
_chr12_000542.1	X	19134659	19138974	_scaffold_1_000374.1	S1c
_chr12_000547.1	X	19922916	19927477	_scaffold_1_002871.1	S1c
_chr12_000558.1	X	20773290	20775524	_scaffold_1_003996.1	S1c
_chr12_000570.1	X	21951730	21954388	_scaffold_1_003615.1	S1c
_chr12_000572.1	X	21967218	21968615	_scaffold_1_003463.1	S1c
_chr12_000577.1	X	22722915	22729956	_scaffold_1_002193.1	S1c
_chr12_000580.1	X	22872189	22878452	_scaffold_1_000078.1	S1c
_chr12_000585.1	X	23588976	23593198	_scaffold_1_000562.1	S1c
_chr12_000586.1	X	23621436	23628522	_scaffold_1_003502.1	S1c
_chr12_000593.1	X	24083085	24095029	_scaffold_1_002669.1	S1c
_chr12_000595.1	X	24377344	24380403	_scaffold_1_002380.1	S1c
_chr12_000596.1	X	24381099	24381806	_scaffold_1_002381.1	S1c
_chr12_000598.1	X	24391147	24394865	_scaffold_1_003929.1	S1c
_chr12_000608.1	X	25704167	25719066	_scaffold_1_000280.1	S1c
_chr12_000624.1	X	27675217	27679100	_scaffold_13_000260.1	S3
_chr12_000634.1	X	29817636	29833890	_scaffold_1_001566.1	S3
_chr12_000635.1	X	30277157	30279640	_scaffold_1_002804.1	S3
_chr12_000636.1	X	30279645	30282232	_scaffold_1_003195.1	S3
_chr12_000650.1	X	31790138	31791405	_scaffold_12_000202.1	S3
_chr12_000650.1	X	31790138	31791405	_scaffold_12_000202.1	S3
_chr12_000659.1	X	33311281	33316079	_scaffold_1_001455.1	S3
_chr12_000660.1	X	33316092	33318863	_scaffold_1_001125.1	S3
_chr12_000673.1	X	160767505	160775670	_scaffold_1_000745.1	S3
_chr12_000681.1	X	158732244	158732651	_scaffold_1_000869.1	S3
_chr12_000686.1	X	153034057	153035728	_scaffold_16_000183.1	S3
_chr12_000688.1	X	152118320	152120972	_scaffold_1_001559.1	S3
_chr12_000690.1	X	150322789	150330493	_scaffold_13_000406.1	S3
_chr12_000693.1	X	149121622	149122594	_scaffold_1_000718.1	S3
_chr12_000696.1	X	148295672	148301317	_scaffold_1_000667.1	S3
_chr12_000713.1	X	138300202	138301546	_scaffold_1_000339.1	S3
_chr12_000713.1	X	138300202	138301546	_scaffold_1_000339.1	S3
_chr12_000724.1	X	136935095	136937101	_scaffold_1_000986.1	S3
_chr12_000732.1	X	135098418	135102275	_scaffold_1_000470.1	S3
_chr12_000741.1	X	134291038	134294094	_scaffold_1_004044.1	S3
_chr12_000743.1	X	133126659	133134024	_scaffold_13_000401.1	S3
_chr12_000745.1	X	133120890	133122481	_scaffold_13_000402.1	S3
_chr12_000750.1	X	132774959	132785646	_scaffold_1_001845.1	S3
_chr12_000752.1	X	131384807	131388148	_scaffold_1_000279.1	S3
_chr12_000754.1	X	128918970	128923058	_scaffold_13_000062.1	S3
_chr12_000756.1	X	128874276	128875414	_scaffold_1_000887.1	S3
_chr12_000757.1	X	128870159	128874261	_scaffold_1_002113.1	S3
_chr12_000774.1	X	123315748	123318217	_scaffold_1_001400.1	S3
_chr12_000795.1	X	118675213	118683011	_scaffold_1_001594.1	S3
_chr12_000813.1	X	114315658	114320413	_scaffold_1_002688.1	S3
_chr12_000816.1	X	111589477	111592043	_scaffold_13_000042.1	S3
_chr12_000824.1	X	109004058	109005743	_scaffold_13_000425.1	S3
_chr12_000828.1	X	107792441	107798877	_scaffold_1_002907.1	S3
_chr12_000832.1	X	106642397	106648885	_scaffold_1_002917.1	S3
_chr12_000840.1	X	105332498	105337033	_scaffold_1_003508.1	S3
_chr12_000860.1	X	101834792	101850795	_scaffold_1_003193.1	S3
_chr12_000867.1	X	98206110	98210970	_scaffold_1_001919.1	S3
_chr12_000868.1	X	98188030	98205844	_scaffold_1_001920.1	S3
_chr12_000877.1	X	97704315	97705624	_scaffold_1_000796.1	S3
_chr12_000880.1	X	96498368	96502841	_scaffold_13_000055.1	S3
_chr12_000887.1	X	95073118	95082957	_scaffold_13_000038.1	S3
_chr12_000889.1	X	94455827	94462574	_scaffold_13_000416.1	S3
_chr12_000891.1	X	93644210	93647245	_scaffold_1_003141.1	S3
_chr12_000891.1	X	93644210	93647245	_scaffold_1_003141.1	S3
_chr12_000892.1	X	92525214	92530757	_scaffold_1_002156.1	S3
_chr12_000896.1	X	90470174	90470883	_scaffold_1_002305.1	S3
_chr12_000901.1	X	88581689	88590661	_scaffold_1_000446.1	S3
_chr12_000914.1	X	82195883	82216071	_scaffold_1_001913.1	S3
_chr12_000918.1	X	82083426	82087334	_scaffold_1_001710.1	S3
_chr12_000927.1	X	80566118	80568152	_scaffold_41_000004.1	S3
_chr12_000931.1	X	78293174	78294340	_scaffold_12_000157.1	S3
_chr12_000935.1	X	76605418	76608424	_scaffold_41_000035.1	S3
_chr12_000976.1	X	70544635	70547699	_scaffold_1_002641.1	S3
_chr12_000980.1	X	70167713	70170457	_scaffold_1_001261.1	S3
_chr12_000983.1	X	69605689	69614731	_scaffold_1_001139.1	S3
_chr12_000984.1	X	69424451	69426142	_scaffold_12_000119.1	S3
_chr12_001001.1	X	68067901	68070557	_scaffold_1_001387.1	S3
_chr12_001009.1	X	65605937	65610018	_scaffold_1_002769.1	S3
_chr12_001010.1	X	65445728	65451400	_scaffold_1_002770.1	S3
_chr12_001016.1	X	65096705	65100313	_scaffold_1_001449.1	S3
_chr12_001017.1	X	64816491	64842442	_scaffold_1_001375.1	S3
_chr12_001025.1	X	64130482	64133212	_scaffold_12_000358.1	S3
_chr12_001026.1	X	64109700	64129196	_scaffold_12_000359.1	S3
_chr12_001044.1	X	60797852	60826906	_scaffold_1_001640.1	S3
_chr12_001051.1	X	60614474	60616613	_scaffold_1_003420.1	S3
_chr12_001052.1	X	60612967	60614472	_scaffold_1_003421.1	S3
_chr12_001054.1	X	59483584	59489012	_scaffold_1_002476.1	S3
_chr12_001066.1	X	56243927	56251196	_scaffold_1_003442.1	S3
_chr12_001073.1	X	54785029	54786539	_scaffold_1_003052.1	S3
_chr12_001074.1	X	54784805	54785020	_scaffold_1_002950.1	S3
_chr12_001075.1	X	54784517	54784786	_scaffold_1_002951.1	S3
_chr12_001081.1	X	53452629	53456743	_scaffold_41_000011.1	S3
_chr12_001084.1	X	53321002	53324554	_scaffold_16_000065.1	S3
_chr12_001085.1	X	53320009	53320963	_scaffold_1_001505.1	S3
_chr12_001086.1	X	52511462	52515666	_scaffold_12_000437.1	S3
_chr12_001098.1	X	49870337	49874201	_scaffold_1_000971.1	S3
_chr12_001102.1	X	48640381	48644222	_scaffold_1_001203.1	S3
_chr12_001103.1	X	48638816	48639667	_scaffold_1_001204.1	S3
_chr12_001108.1	X	47655637	47656480	_scaffold_1_001900.1	S3
_chr12_001109.1	X	47442303	47455353	_scaffold_1_001184.1	S3
_chr12_001113.1	X	46435703	46436440	_scaffold_1_000136.1	S3
_chr12_001115.1	X	46055999	46058758	_scaffold_1_000450.1	S3
_chr12_001121.1	X	44269221	44274791	_scaffold_12_000255.1	S3
_chr12_001125.1	X	43167304	43169041	_scaffold_1_001680.1	S3
_chr12_001126.1	X	43085051	43088958	_scaffold_1_001685.1	S3
_chr12_001127.1	X	41984440	41985997	_scaffold_1_003209.1	S3
_chr12_001134.1	X	40773678	40784948	_scaffold_1_003665.1	S3
_chr12_001135.1	X	40097629	40102665	_scaffold_13_000267.1	S3
_chr12_001143.1	X	38591081	38595079	_scaffold_1_001611.1	S3
_chr12_001148.1	X	38350466	38353187	_scaffold_12_000072.1	S3
_chr12_001154.1	X	37040248	37046610	_scaffold_13_000266.1	S3
_chr12_001156.1	X	36911197	36911680	_scaffold_1_001262.1	S3
_chr12_001177.1	X	173716678	173721142	_scaffold_1_002577.1	S3
_chr12_001184.1	X	176123313	176149057	_scaffold_1_000681.1	S3
_chr12_001191.1	X	179375024	179377213	_scaffold_12_000431.1	S3
_chr12_001194.1	X	180616039	180616635	_scaffold_13_000417.1	S3
_chr12_001203.1	X	183549571	183556995	_scaffold_1_002202.1	S3
_chr12_001219.1	X	187671100	187680844	_scaffold_1_001399.1	S3
_chr12_001221.1	X	188042717	188050042	_scaffold_1_002548.1	S3
_chr12_001223.1	X	188161867	188163789	_scaffold_1_003452.1	S3
_chr12_001223.1	X	188161867	188163789	_scaffold_1_003452.1	S3
_chr12_001247.1	X	196574472	196578890	_scaffold_1_002507.1	S3
_chr12_001251.1	X	198013799	198020071	_scaffold_1_002500.1	S3
_chr12_001258.1	X	210791612	210797353	_scaffold_1_003250.1	S3
_chr12_001261.1	X	216120322	216124299	_scaffold_1_002135.1	S3
_chr12_001265.1	X	216565444	216572103	_scaffold_1_004167.1	S3
_chr12_001270.1	X	217181923	217182640	_scaffold_1_001421.1	S3
_chr12_001271.1	X	217544649	217558733	_scaffold_1_000011.1	S3
_chr12_001285.1	X	221642678	221672107	_scaffold_1_001735.1	S3
_chr12_001292.1	X	222902397	222906286	_scaffold_1_001163.1	S3
_chr12_001293.1	X	223190579	223200629	_scaffold_1_001623.1	S3
_chr12_001295.1	X	223422717	223427731	_scaffold_1_001624.1	S3
_chr12_001324.1	X	230838098	230844063	_scaffold_41_000013.1	S3
_chr12_001327.1	X	233153176	233157261	_scaffold_1_000541.1	S3
_chr12_001339.1	X	239066425	239071979	_scaffold_1_000867.1	S3
_chr12_001344.1	X	239924275	239926107	_scaffold_1_001939.1	S3
_chr12_001349.1	X	241462998	241468807	_scaffold_1_003393.1	S3
_chr12_001351.1	X	241611869	241618024	_scaffold_1_003394.1	S3
_chr12_001354.1	X	242382787	242385067	_scaffold_1_003859.1	S3
_chr12_001355.1	X	242390310	242406118	_scaffold_1_003857.1	S3
_chr12_001358.1	X	242801834	242805270	_scaffold_1_003860.1	S3
_chr12_001361.1	X	244110837	244118538	_scaffold_1_002129.1	S3
_chr12_001381.1	X	249936483	249937910	_scaffold_13_000285.1	S3
_chr12_001382.1	X	251751150	251762547	_scaffold_1_003945.1	S3
_chr12_001392.1	X	253074129	253076627	_scaffold_1_003264.1	S3
_chr12_001393.1	X	253076659	253076775	_scaffold_12_000454.1	S3
_chr12_001396.1	X	254205154	254207313	_scaffold_1_002482.1	S3
_chr12_001398.1	X	256027879	256029968	_scaffold_1_003129.1	S3
_chr12_001402.1	X	256645397	256650614	_scaffold_1_001397.1	S3
_chr12_001406.1	X	258065218	258068889	_scaffold_1_002020.1	S3
_chr12_001408.1	X	259061600	259067917	_scaffold_1_000047.1	S3
_chr12_001411.1	X	261563266	261574840	_scaffold_1_003056.1	S3
_chr12_001433.1	X	263245007	263251158	_scaffold_13_000254.1	S3
_chr12_001437.1	X	263383913	263388801	_scaffold_1_000112.1	S3
_chr12_001449.1	X	264694658	264706894	_scaffold_1_002765.1	S3
_chr12_001451.1	X	265463579	265466090	_scaffold_1_000790.1	S3
_chr12_001465.1	X	269688294	269690613	_scaffold_1_000193.1	S3
_chr12_001477.1	X	272495612	272498119	_scaffold_1_000858.1	S3
_chr12_001488.1	X	273072250	273075664	_scaffold_1_003215.1	S3
_chr12_001494.1	X	273647746	273668564	_scaffold_1_003217.1	S3
_chr12_001496.1	X	274197297	274209265	_scaffold_1_003261.1	S3
_chr12_001497.1	X	274242917	274246998	_scaffold_1_003262.1	S3
_chr12_001499.1	X	274273867	274279647	_scaffold_1_000314.1	S3
_chr12_001500.1	X	274763286	274769928	_scaffold_41_000100.1	S3
_chr12_001501.1	X	274947123	274952562	_scaffold_1_000106.1	S3
_chr12_001503.1	X	276672441	276676692	_scaffold_1_001649.1	S3
_chr12_001509.1	X	277549816	277570695	_scaffold_1_002734.1	S3
_chr12_001510.1	X	277675159	277677436	_scaffold_1_003142.1	S3
_chr12_001518.1	X	278621555	278622260	_scaffold_1_003776.1	S3
_chr12_001519.1	X	278624317	278624760	_scaffold_1_001386.1	S3
_chr12_001526.1	X	280470431	280471252	_scaffold_12_000189.1	S3
_chr12_001531.1	X	281928757	281936471	_scaffold_12_000207.1	S3
_chr12_001532.1	X	282473543	282477073	_scaffold_1_000979.1	S3
_chr12_001541.1	X	283768949	283773825	_scaffold_1_003298.1	S3
_chr12_001547.1	X	286113316	286123594	_scaffold_1_003341.1	S3
_chr12_001554.1	X	287624478	287633559	_scaffold_1_003388.1	S3
_chr12_001556.1	X	287839504	287846039	_scaffold_1_001029.1	S3
_chr12_001567.1	X	289992479	289994365	_scaffold_41_000015.1	S3
_chr12_001570.1	X	290541725	290544930	_scaffold_1_003179.1	S3
_chr12_001574.1	X	291376311	291386429	_scaffold_1_000928.1	S3
_chr12_001575.1	X	291403900	291412487	_scaffold_1_000929.1	S3
_chr12_001577.1	X	292018708	292020771	_scaffold_1_002175.1	S3
_chr12_001579.1	X	292084405	292086645	_scaffold_1_003829.1	S3
_chr12_001581.1	X	292520387	292527090	_scaffold_1_000909.1	S3
_chr12_001583.1	X	292686535	292688323	_scaffold_1_003260.1	S3
_chr12_001587.1	X	294305539	294314130	_scaffold_1_000170.1	S3
_chr12_001588.1	X	294824466	294829550	_scaffold_1_003921.1	S3
_chr12_001595.1	X	296267044	296276523	_scaffold_1_000233.1	S3
_chr12_001599.1	X	296852679	296862531	_scaffold_13_000278.1	S3
_chr12_001604.1	X	297233582	297235964	_scaffold_1_003883.1	S3
_chr12_001609.1	X	298087806	298095765	_scaffold_1_003897.1	S3
_chr12_001611.1	X	298113085	298114815	_scaffold_1_003898.1	S3
_chr12_001612.1	X	298582459	298587442	_scaffold_13_000247.1	S3
_chr12_001614.1	X	299435049	299438616	_scaffold_1_003834.1	S3
_chr12_001624.1	X	301746861	301760364	_scaffold_1_002142.1	S3
_chr12_001625.1	X	301786835	301793526	_scaffold_1_002012.1	S3
_chr12_001628.1	X	302056430	302057232	_scaffold_12_000066.1	S3
_chr12_001634.1	X	302318759	302336173	_scaffold_1_002958.1	S3
_chr12_001637.1	X	302405224	302412626	_scaffold_1_001890.1	S3
_chr12_001639.1	X	302904118	302907441	_scaffold_1_003350.1	S3
